Flexsim Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object,Class,stats_contentmin,stats_contentmax,stats_contentavg,stats_input,stats_staytimeavg,idle,waiting for operator,travel empty,travel loaded,loading,unloading,utilize,empty,blocked,processing,offset travel empty,offset travel loaded,stats_content,stats_output,stats_staytimemin,stats_staytimemax,state_current,generating,collecting,releasing,waiting for transporter,breakdown,scheduled down,down,conveying,setup
Line 2 WIP Buffer Area 4,Queue,4,6,5.40279,130,17549.88692,0,0,0,0,0,0,0,0,0,0,0,0,4,131,11670.62569,22556.37722,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 5,Queue,3,6,5.385374,133,16987.57805,0,0,0,0,0,0,0,0,0,0,0,0,5,133,8711.564776,24446.14039,8,0,0,424800,0,0,0,0,0,0
Line 2 Workstation 2,Processor,0,1,0.993619,127,3325.151495,2710.826626,0,0,0,0,0,0,0,0,421621.5764,0,0,1,127,546.655109,6154.511372,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 3,Processor,0,1,0.993913,121,3499.807291,2585.74403,0,0,0,0,0,0,0,0,421768.75,0,0,1,121,897.426367,6497.860858,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 4,Processor,0,1,0.993416,131,3220.827078,2796.795107,0,0,0,0,0,0,0,0,421520.8822,0,0,1,131,710.893308,5751.812541,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 5,Processor,0,1,0.993306,133,3163.224866,2843.80899,0,0,0,0,0,0,0,0,421465.6659,0,0,1,133,583.387544,6342.374676,10,0,0,0,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 2,Queue,2,129,66.280751,127,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 3,Queue,1,122,62.674744,121,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 4,Queue,2,133,64.67416,131,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 5,Queue,2,135,68.09071,133,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,8,0,0,424800,0,0,0,0,0,0
Translation Operator 2,Operator,0,1,0.002974,260,4.858729,0,0,1323.287596,1199.267652,0,0,421711.3566,0,0,0,502.086301,64.001876,0,260,4.48097,5.654924,22,0,0,0,0,0,0,0,0,0
Translation Operator 3,Operator,0,1,0.002996,262,4.857547,0,0,1333.2102,1208.491945,0,0,421688.1708,0,0,0,505.941821,64.185244,0,262,4.450041,5.685865,22,0,0,0,0,0,0,0,0,0
Translation Operator 4,Operator,0,1,0.00304,266,4.854709,0,0,1352.9766,1226.941506,0,0,421641.9978,0,0,0,513.672994,64.411055,0,266,4.512161,5.623721,22,0,0,0,0,0,0,0,0,0
Translation Operator 5,Operator,0,1,0.002975,260,4.860069,0,0,1323.563177,1199.272499,0,0,421710.7236,0,0,0,502.095252,64.345446,0,260,4.449729,5.686176,22,0,0,0,0,0,0,0,0,0
Translation Operator 6,Operator,0,1,0.003115,258,5.129414,0,0,1311.972612,1261.407335,0,0,421571.647,0,0,0,592.99154,61.98149,0,258,4.847526,5.71289,22,0,0,0,0,0,0,0,0,0
Translation Operator 7,Operator,0,1,0.003067,254,5.129842,0,0,1291.653442,1241.853318,0,0,421621.5764,0,0,0,583.790373,61.126433,0,254,4.875669,5.741033,22,0,0,0,0,0,0,0,0,0
Translation Operator 8,Operator,0,1,0.002926,242,5.136701,0,0,1231.965193,1183.181318,0,0,421768.75,0,0,0,556.203178,59.900285,0,242,4.867267,5.732631,22,0,0,0,0,0,0,0,0,0
Translation Operator 9,Operator,0,1,0.003165,262,5.131057,0,0,1332.613322,1280.973917,0,0,421520.8822,0,0,0,602.167652,63.362907,0,262,4.880272,5.80302,22,0,0,0,0,0,0,0,0,0
Translation Operator 10,Operator,0,1,0.003222,266,5.144799,0,0,1353.556822,1303.441266,0,0,421465.6659,0,0,0,612.260635,65.075396,0,266,4.875424,5.847566,16,0,0,0,0,0,0,0,0,0
Line 1 Workstation 1,Processor,0,1,0.994046,126,3332.951927,2529.091436,0,0,0,0,0,0,0,0,421806.9535,0,0,1,126,932.623087,6451.59055,2,0,0,0,0,0,0,0,0,0
Translation Operator 1,Operator,0,1,0.002882,252,4.857589,0,0,1282.308966,1162.371402,0,0,421806.9535,0,0,0,486.625214,61.740915,0,252,4.308841,5.827121,22,0,0,0,0,0,0,0,0,0
Line 1 WIP Buffer Area 1,Queue,3,6,5.462249,127,18276.57492,0,0,0,0,0,0,0,0,0,0,0,0,5,126,8899.018796,24350.261,8,0,0,424800,0,0,0,0,0,0
car 1,Transporter,0,8,0.133397,649,87.314512,402277.7407,0,6725.524669,8572.561098,1976.091165,1972.604262,0,0,0,0,281.572626,2993.905482,0,649,46.565784,132.449359,1,0,0,0,0,0,0,0,0,0
car 2,Transporter,0,8,0.132466,639,88.062101,401943.7998,0,7186.934465,8881.11597,1948.107381,1931.449139,0,0,0,0,94.688753,2813.904466,0,639,48.346708,133.902277,1,0,0,0,0,0,0,0,0,0
