Flexsim Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object,Class,stats_contentmin,stats_contentmax,stats_contentavg,stats_input,stats_staytimeavg,idle,waiting for operator,travel empty,travel loaded,loading,unloading,utilize,empty,blocked,processing,offset travel empty,offset travel loaded,stats_content,stats_output,stats_staytimemin,stats_staytimemax,state_current,generating,collecting,releasing,waiting for transporter,breakdown,scheduled down,down,conveying,setup
Line 1 Finished Goods Buffer Area 5,Queue,1,131,64.79,130,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 1,Queue,0,3,2.349038,129,7734.282691,0,0,0,0,0,0,0,467.956409,0,0,0,0,2,129,2380.451339,13273.393,8,0,0,424308.4679,0,0,0,0,0,0
Line 2 WIP Buffer Area 2,Queue,0,3,2.352887,127,7840.321112,0,0,0,0,0,0,0,74.164347,0,0,0,0,2,127,1366.803932,13136.50803,8,0,0,424710.205,0,0,0,0,0,0
Line 2 WIP Buffer Area 3,Queue,1,3,2.383157,120,8395.527941,0,0,0,0,0,0,0,0,0,0,0,0,1,121,2587.670928,14219.02674,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 4,Queue,1,3,2.321243,130,7549.477325,0,0,0,0,0,0,0,0,0,0,0,0,1,131,2033.759344,13377.33315,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 5,Queue,0,3,2.291213,133,7261.067322,0,0,0,0,0,0,0,2087.398268,0,0,0,0,2,133,906.049984,13379.28549,8,0,0,422664.7631,0,0,0,0,0,0
Line 2 Workstation 2,Processor,0,1,0.993619,127,3325.151495,2710.826626,0,0,0,0,0,0,0,0,421621.5764,0,0,1,127,546.655109,6154.511372,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 3,Processor,0,1,0.993913,121,3499.807291,2585.74403,0,0,0,0,0,0,0,0,421768.75,0,0,1,121,897.426367,6497.860858,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 4,Processor,0,1,0.993416,131,3220.827078,2796.795107,0,0,0,0,0,0,0,0,421520.8822,0,0,1,131,710.893308,5751.812541,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 5,Processor,0,1,0.993306,133,3163.224866,2843.80899,0,0,0,0,0,0,0,0,421465.6659,0,0,1,133,583.387544,6342.374676,10,0,0,0,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 2,Queue,2,129,66.280751,127,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 3,Queue,1,122,62.674744,121,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 4,Queue,2,133,64.67416,131,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 5,Queue,2,135,68.09071,133,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,8,0,0,424800,0,0,0,0,0,0
Translation Operator 2,Operator,0,1,0.002974,260,4.858729,0,0,1323.287596,1199.267652,0,0,421711.3566,0,0,0,502.086301,64.001876,0,260,4.48097,5.654924,22,0,0,0,0,0,0,0,0,0
Translation Operator 3,Operator,0,1,0.002996,262,4.857547,0,0,1333.2102,1208.491945,0,0,421688.1708,0,0,0,505.941821,64.185244,0,262,4.450041,5.685865,22,0,0,0,0,0,0,0,0,0
Translation Operator 4,Operator,0,1,0.00304,266,4.854709,0,0,1352.9766,1226.941506,0,0,421641.9978,0,0,0,513.672994,64.411055,0,266,4.512161,5.623721,22,0,0,0,0,0,0,0,0,0
Translation Operator 5,Operator,0,1,0.002975,260,4.860069,0,0,1323.563177,1199.272499,0,0,421710.7236,0,0,0,502.095252,64.345446,0,260,4.449729,5.686176,22,0,0,0,0,0,0,0,0,0
Translation Operator 6,Operator,0,1,0.003115,258,5.129414,0,0,1311.972612,1261.407335,0,0,421571.647,0,0,0,592.99154,61.98149,0,258,4.847526,5.71289,22,0,0,0,0,0,0,0,0,0
Translation Operator 7,Operator,0,1,0.003067,254,5.129842,0,0,1291.653442,1241.853318,0,0,421621.5764,0,0,0,583.790373,61.126433,0,254,4.875669,5.741033,22,0,0,0,0,0,0,0,0,0
Translation Operator 8,Operator,0,1,0.002926,242,5.136701,0,0,1231.965193,1183.181318,0,0,421768.75,0,0,0,556.203178,59.900285,0,242,4.867267,5.732631,22,0,0,0,0,0,0,0,0,0
Translation Operator 9,Operator,0,1,0.003165,262,5.131057,0,0,1332.613322,1280.973917,0,0,421520.8822,0,0,0,602.167652,63.362907,0,262,4.880272,5.80302,22,0,0,0,0,0,0,0,0,0
Translation Operator 10,Operator,0,1,0.003222,266,5.144799,0,0,1353.556822,1303.441266,0,0,421465.6659,0,0,0,612.260635,65.075396,0,266,4.875424,5.847566,16,0,0,0,0,0,0,0,0,0
Line 1 Workstation 1,Processor,0,1,0.994046,126,3332.951927,2529.091436,0,0,0,0,0,0,0,0,421806.9535,0,0,1,126,932.623087,6451.59055,2,0,0,0,0,0,0,0,0,0
Translation Operator 1,Operator,0,1,0.002882,252,4.857589,0,0,1282.308966,1162.371402,0,0,421806.9535,0,0,0,486.625214,61.740915,0,252,4.308841,5.827121,22,0,0,0,0,0,0,0,0,0
Line 1 WIP Buffer Area 1,Queue,0,3,2.405146,127,8053.895606,0,0,0,0,0,0,0,1156.88422,0,0,0,0,2,126,1483.293191,14441.59911,8,0,0,423611.6656,0,0,0,0,0,0
car 1,Transporter,0,8,0.374646,649,245.222592,366802.1071,0,6761.599587,8694.855391,19557.27349,19545.52096,0,0,0,0,283.300884,3155.342553,0,649,102.250997,362.757493,1,0,0,0,0,0,0,0,0,0
car 2,Transporter,0,8,0.36251,639,240.992247,367668.0225,0,7150.315291,8755.919755,19263.32214,19213.03111,0,0,0,0,97.612745,2651.776486,0,639,85.227878,356.40135,1,0,0,0,0,0,0,0,0,0
