Flexsim Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object,Class,stats_contentmin,stats_contentmax,stats_contentavg,stats_input,stats_staytimeavg,idle,waiting for operator,travel empty,travel loaded,loading,unloading,utilize,empty,blocked,processing,offset travel empty,offset travel loaded,stats_content,stats_output,stats_staytimemin,stats_staytimemax,state_current,generating,collecting,releasing,waiting for transporter,breakdown,scheduled down,down,conveying,setup
Line 2 Workstation 3,Processor,0,1,0.989086,185,2265.767697,4636.340691,0,0,0,0,0,0,0,0,419482.5138,0,0,1,185,743.110825,4333.134528,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 4,Processor,0,1,0.986097,197,2131.332157,5905.800243,0,0,0,0,0,0,0,0,418168.8748,0,0,1,197,400.102588,3899.547123,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 5,Processor,0,1,0.982976,197,2121.02344,7231.602748,0,0,0,0,0,0,0,0,416843.413,0,0,1,197,583.387544,3791.905523,2,0,0,0,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 2,Queue,3,199,99.046357,196,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 3,Queue,3,188,95.572403,185,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 4,Queue,2,199,98.913947,197,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 5,Queue,3,200,101.347961,197,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,8,0,0,424800,0,0,0,0,0,0
Translation Operator 2,Operator,0,1,0.004433,388,4.853425,0,0,1973.189764,1789.674452,0,0,420194.4193,0,0,0,749.261987,93.454499,0,388,4.48097,5.654924,22,0,0,0,0,0,0,0,0,0
Translation Operator 3,Operator,0,1,0.004598,402,4.85835,0,0,2045.856157,1854.255805,0,0,420024.7817,0,0,0,776.305632,98.8007,0,402,4.450041,5.685865,22,0,0,0,0,0,0,0,0,0
Translation Operator 4,Operator,0,1,0.004551,398,4.857533,95.378896,0,2025.235697,1835.797286,0,0,419977.5156,0,0,0,768.57177,97.50079,0,398,4.512161,5.623721,22,0,0,0,0,0,0,0,0,0
Translation Operator 5,Operator,0,1,0.004528,396,4.857562,2812.603676,0,2015.056946,1826.573216,0,0,417284.0455,0,0,0,764.699268,97.021437,0,396,4.449729,5.686176,22,0,0,0,0,0,0,0,0,0
Translation Operator 6,Operator,0,1,0.004619,382,5.136581,0,0,1944.627431,1867.662344,0,0,420015.2275,0,0,0,877.971132,94.511562,0,382,4.847526,5.71289,22,0,0,0,0,0,0,0,0,0
Translation Operator 7,Operator,0,1,0.004737,392,5.132961,2227.370654,0,1994.397674,1916.559678,0,0,417665.1549,0,0,0,900.95611,95.560993,0,392,4.875669,5.741033,22,0,0,0,0,0,0,0,0,0
Translation Operator 8,Operator,0,1,0.004471,370,5.132757,685.516659,0,1882.460502,1808.995709,0,0,419482.5138,0,0,0,850.389008,90.124279,0,370,4.867267,5.732631,22,0,0,0,0,0,0,0,0,0
Translation Operator 9,Operator,0,1,0.00476,394,5.132204,1699.166295,0,2004.315681,1926.350666,0,0,418168.8748,0,0,0,905.554846,95.737713,0,394,4.880272,5.80302,22,0,0,0,0,0,0,0,0,0
Translation Operator 10,Operator,0,1,0.00477,394,5.142921,3020.684074,0,2004.303112,1930.660082,0,0,416843.413,0,0,0,905.288766,95.650951,0,394,4.875424,5.847566,22,0,0,0,0,0,0,0,0,0
Line 1 Workstation 1,Processor,0,1,0.989261,193,2183.233573,4561.809473,0,0,0,0,0,0,0,0,419527.5292,0,0,1,193,63.682183,4302.287757,2,0,0,0,0,0,0,0,0,0
Translation Operator 1,Operator,0,1,0.004409,386,4.852567,691.248229,0,1962.734763,1780.461663,0,0,419527.5292,0,0,0,745.396924,92.629229,0,386,4.308841,5.827121,22,0,0,0,0,0,0,0,0,0
Line 1 WIP Buffer Area 1,Queue,0,3,2.005423,192,4430.656723,0,0,0,0,0,0,0,9616.171018,0,0,0,0,0,193,10.107535,9306.848812,6,0,0,414854.0119,0,0,0,0,0,0
car 1,Transporter,0,8,0.653127,980,283.110468,341088.6159,0,9236.079843,11264.42927,29428.12738,29471.52364,0,0,0,0,459.144768,3852.079227,0,980,84.534753,366.992065,1,0,0,0,0,0,0,0,0,0
car 2,Transporter,0,8,0.631371,961,279.091013,343033.1573,0,9572.78357,11180.70416,28804.60571,28859.33513,0,0,0,0,197.332701,3152.081464,0,961,85.211921,356.606472,1,0,0,0,0,0,0,0,0,0
