Flexsim Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object,Class,stats_contentmin,stats_contentmax,stats_contentavg,stats_input,stats_staytimeavg,idle,waiting for operator,travel empty,travel loaded,loading,unloading,utilize,empty,blocked,processing,offset travel empty,offset travel loaded,stats_content,stats_output,stats_staytimemin,stats_staytimemax,state_current,generating,collecting,releasing,waiting for transporter,breakdown,scheduled down,down,conveying,setup
Line 2 Workstation 5,Processor,0,1,0.993306,133,3182.762818,2843.80899,0,0,0,0,0,0,0,0,421466.7347,0,0,1,133,873.241253,6342.374676,2,0,0,0,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 2,Queue,2,129,66.10042,127,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 3,Queue,1,122,62.570791,121,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 4,Queue,1,132,64.446376,131,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 5,Queue,2,135,67.119851,133,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,8,0,0,424800,0,0,0,0,0,0
Translation Operator 2,Operator,0,1,0.002974,260,4.858729,0,0,1323.287596,1199.267652,0,0,421711.3566,0,0,0,502.086301,64.001876,0,260,4.48097,5.654924,22,0,0,0,0,0,0,0,0,0
Translation Operator 3,Operator,0,1,0.003041,266,4.857136,0,0,1353.510206,1226.94219,0,0,421640.8255,0,0,0,513.66605,65.056038,0,266,4.450041,5.685865,22,0,0,0,0,0,0,0,0,0
Translation Operator 4,Operator,0,1,0.003018,264,4.855852,0,0,1343.055206,1217.714148,0,0,421665.1952,0,0,0,509.80465,64.230768,0,264,4.512161,5.623721,22,0,0,0,0,0,0,0,0,0
Translation Operator 5,Operator,0,1,0.002975,260,4.860069,0,0,1323.563177,1199.272499,0,0,421710.7236,0,0,0,502.095252,64.345446,0,260,4.449729,5.686176,22,0,0,0,0,0,0,0,0,0
Translation Operator 6,Operator,0,1,0.003067,254,5.129828,0,0,1291.653442,1241.849843,0,0,421621.5792,0,0,0,583.791109,61.126433,0,254,4.847526,5.71289,22,0,0,0,0,0,0,0,0,0
Translation Operator 7,Operator,0,1,0.003067,254,5.129842,0,0,1291.653442,1241.853318,0,0,421621.5764,0,0,0,583.790373,61.126433,0,254,4.875669,5.741033,22,0,0,0,0,0,0,0,0,0
Translation Operator 8,Operator,0,1,0.002926,242,5.136701,0,0,1231.965193,1183.181318,0,0,421768.75,0,0,0,556.203178,59.900285,0,242,4.867267,5.732631,22,0,0,0,0,0,0,0,0,0
Translation Operator 9,Operator,0,1,0.003163,262,5.127757,0,0,1331.987361,1280.974825,0,0,421522.3646,0,0,0,602.175672,62.49755,0,262,4.880272,5.80302,22,0,0,0,0,0,0,0,0,0
Translation Operator 10,Operator,0,1,0.003222,266,5.144799,0,0,1353.556822,1303.441266,0,0,421466.7347,0,0,0,611.191858,65.075396,0,266,4.875424,5.847566,22,0,0,0,0,0,0,0,0,0
Line 1 Workstation 1,Processor,0,1,0.993998,127,3328.960041,2549.776775,0,0,0,0,0,0,0,0,421782.586,0,0,1,127,932.623087,6451.59055,2,0,0,0,0,0,0,0,0,0
Translation Operator 1,Operator,0,1,0.002905,254,4.858908,0,0,1292.763967,1171.596567,0,0,421782.586,0,0,0,490.487287,62.566184,0,254,4.308841,5.827121,22,0,0,0,0,0,0,0,0,0
Line 1 WIP Buffer Area 1,Queue,5,6,5.949248,127,19733.31278,0,0,0,0,0,0,0,0,0,0,0,0,6,127,6532.448806,25873.05548,8,0,0,424800,0,0,0,0,0,0
car 1,Transporter,0,3,0.135341,652,88.08682,325384.0321,0,27990.94948,27310.23357,19525.10095,19740.29822,0,0,0,0,1438.775016,3410.610642,1,651,64.599753,250.581855,19,0,0,0,0,0,0,0,0,0
car 2,Transporter,0,3,0.13512,638,89.967296,325489.3992,0,29126.08461,27999.58834,19209.77796,19216.89157,0,0,0,0,456.873235,3301.385119,0,638,64.968059,263.259554,18,0,0,0,0,0,0,0,0,0
